p,o
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Cambridge_United_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:English_Football_League_venues
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Football_venues_in_England
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Parks_and_open_spaces_in_Cambridge
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Sports_venues_completed_in_1923
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:Sports_venues_in_Cambridge
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Chelsea_F.C.
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/English_Football_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Exhibition_game
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Grosvenor_Group
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Hillsborough_disaster
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/John_Howard_(UK_businessman)
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Marston's_Brewery
http://dbpedia.org/ontology/wikiPageWikiLink,"http://dbpedia.org/resource/Milton,_Cambridgeshire"
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Naming_rights
http://dbpedia.org/ontology/wikiPageWikiLink,"http://dbpedia.org/resource/Newmarket_Road,_Cambridge"
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Parker's_Piece
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Performance
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Portable_building
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Premier_League
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Seating_capacity
http://dbpedia.org/ontology/wikiPageWikiLink,"http://dbpedia.org/resource/St_Ives,_Cambridgeshire"
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Stadium
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Structural_load
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/File:Abbey_South_Stand.JPG
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/File:Habbin_Stand.JPG
http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/File:The_Abbey_Stadium_2.jpg
http://dbpedia.org/property/built,1923
http://dbpedia.org/property/dimensions,110
http://dbpedia.org/property/fullname,Abbey Stadium
http://dbpedia.org/property/location,"Cambridge, England"
http://dbpedia.org/property/nickname,"""The Abbey"""
http://dbpedia.org/property/opened,1932-08-31
http://dbpedia.org/property/operator,http://dbpedia.org/resource/Cambridge_United_F.C.
http://dbpedia.org/property/owner,http://dbpedia.org/resource/Grosvenor_Group
http://dbpedia.org/property/seatingCapacity,8127
http://dbpedia.org/property/stadiumName,Abbey Stadium
http://dbpedia.org/property/surface,Grass
http://dbpedia.org/property/tenants,Cambridge Regional College
http://dbpedia.org/property/tenants,Cambridge United
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Cambridge_United_F.C.
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Citation_needed
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Cite_book
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Coord
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:EFL_League_Two_venues
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Gbmaprim
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Infobox_venue
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Reflist
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Use_British_English
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Use_dmy_dates
http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template:Wide_image
http://dbpedia.org/property/wordnet_type,http://www.w3.org/2006/03/wn/wn20/instances/synset-stadium-noun-1
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:1932_establishments_in_England
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Cambridge_United_F.C.
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:English_Football_League_venues
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Football_venues_in_England
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Parks_and_open_spaces_in_Cambridge
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Sports_venues_completed_in_1923
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Sports_venues_in_Cambridge
http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Stadium
http://www.georss.org/georss/point,52.2121 0.15415
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/ArchitecturalStructure
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Building
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Place
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Stadium
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Venue
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/ontology/Location
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://schema.org/Place
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://umbel.org/umbel/rc/Stadium
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Thing
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q41176
http://www.w3.org/2000/01/rdf-schema#comment,Abbey Stadium är en fotbollsarena i Cambridge i England. Den är hemmaarena för Cambridge United. Den tar 9 617 åskådare. Abbey Stadium byggdes 1923 och invigdes som fotbollsarena 1932. Den första matchen som spelades på arenan var en vänskapsmatch mellan Cambridge United och Cambridge University Press den 31 augusti 1932. Denna arenarelaterade artikel saknar väsentlig information. Du kan hjälpa till genom att lägga till den.
http://www.w3.org/2000/01/rdf-schema#comment,"Abbey Stadium, chiamato per motivi di sponsor R Costings Abbey Stadium, è uno Stadio di Calcio. Si trova a Cambridge, in Inghilterra, ed ospita le partite in casa del Cambridge United F.C.. È stato aperto il 31 agosto 1932 ed ha una capacità di 9 617 posti. Il record di spettatori è stato registrato il 1º maggio 1970 contro il Chelsea. C'erano 14 000 persone ad assistere la partita."
http://www.w3.org/2000/01/rdf-schema#comment,"Das Abbey Stadium ist ein Fußballstadion in der englischen Stadt Cambridge, Grafschaft Cambridgeshire. Der Fußballclub Cambridge United aus der viertklassigen EFL League Two empfängt hier seine Gegner zu den Spielen. Von 2009 bis 2017 trug die Spielstätte an der Newmarket Road den Sponsorennamen R Costings Abbey Stadium. Insgesamt bieten sich den Besuchern auf den vier Tribünen 9.617 Plätze, von denen 4.948 Sitzplätze sind."
http://www.w3.org/2000/01/rdf-schema#comment,"Het Abbey Stadium is een voetbalstadion in de Engelse stad Cambridge. Het stadion werd geopend in 1932 en is de vaste thuishaven van Cambridge United FC. Het stadion heeft een capaciteit van 8.127 toeschouwers, waarvan 4.376 zitplaatsen."
http://www.w3.org/2000/01/rdf-schema#comment,"L'Abbey Stadium est un stade de football situé à Cambridge, en Angleterre. Il s'agit du stade du Cambridge United Football Club. Depuis 1932, sa capacité maximale est de 8 127 spectateurs. Le Cambridge Regional College F.C., centre de formation du Cambridge United, jouait ses matches à domicile dans ce stade de 2006 jusqu'à sa dissolution en 2014."
http://www.w3.org/2000/01/rdf-schema#comment,"O Abbey Stadium é um estádio de futebol localizado em Cambridge,Cambridgeshire, Inglaterra. É a casa do Cambridge United desde 1932, e atualmente tem a capacidade máxima para 8.127 torcedores."
http://www.w3.org/2000/01/rdf-schema#comment,"Стадион Эбби (англ. Abbey Stadium) — многоцелевой открытый стадион расположенный в Кембридже, Англия. Является домашней ареной для футбольного клуба — Кембридж Юнайтед."
http://www.w3.org/2000/01/rdf-schema#label,Abbey Stadium
http://www.w3.org/2000/01/rdf-schema#label,Abbey Stadium
http://www.w3.org/2000/01/rdf-schema#label,Abbey Stadium
http://www.w3.org/2000/01/rdf-schema#label,Abbey Stadium
http://www.w3.org/2000/01/rdf-schema#label,Abbey Stadium
http://www.w3.org/2000/01/rdf-schema#label,Abbey Stadium
http://www.w3.org/2000/01/rdf-schema#label,Abbey Stadium
http://www.w3.org/2000/01/rdf-schema#label,Эбби (стадион)
http://www.w3.org/2002/07/owl#sameAs,http://azb.dbpedia.org/resource/ابی_ایستادیومو
http://www.w3.org/2002/07/owl#sameAs,http://de.dbpedia.org/resource/Abbey_Stadium
http://www.w3.org/2002/07/owl#sameAs,http://fa.dbpedia.org/resource/ورزشگاه_ابی
http://www.w3.org/2002/07/owl#sameAs,http://fi.dbpedia.org/resource/Abbey_Stadium
http://www.w3.org/2002/07/owl#sameAs,http://fr.dbpedia.org/resource/Abbey_Stadium
http://www.w3.org/2002/07/owl#sameAs,http://it.dbpedia.org/resource/Abbey_Stadium
http://www.w3.org/2002/07/owl#sameAs,http://nl.dbpedia.org/resource/Abbey_Stadium
http://www.w3.org/2002/07/owl#sameAs,http://no.dbpedia.org/resource/Abbey_Stadium
http://www.w3.org/2002/07/owl#sameAs,http://pt.dbpedia.org/resource/Abbey_Stadium
http://www.w3.org/2002/07/owl#sameAs,http://ru.dbpedia.org/resource/Эбби_(стадион)
http://www.w3.org/2002/07/owl#sameAs,http://sv.dbpedia.org/resource/Abbey_Stadium
http://www.w3.org/2002/07/owl#sameAs,http://sws.geonames.org/7645513/
http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q2444574
http://www.w3.org/2002/07/owl#sameAs,http://yago-knowledge.org/resource/Abbey_Stadium
http://www.w3.org/2002/07/owl#sameAs,https://global.dbpedia.org/id/2JpCF
http://www.w3.org/2003/01/geo/wgs84_pos#lat,5.22121E1
http://www.w3.org/2003/01/geo/wgs84_pos#long,1.5415E-1
http://www.w3.org/ns/prov#wasDerivedFrom,http://en.wikipedia.org/wiki/Abbey_Stadium?oldid=1013037831&ns=0
http://xmlns.com/foaf/0.1/homepage,https://web.archive.org/web/20090404094030/http:/www.cambridge-united.co.uk/page/StadiumGuide/0%2C%2C10423%2C00.html
http://xmlns.com/foaf/0.1/isPrimaryTopicOf,http://en.wikipedia.org/wiki/Abbey_Stadium
http://xmlns.com/foaf/0.1/name,Abbey Stadium
http://xmlns.com/foaf/0.1/nick,"""The Abbey"""
